guild_id,user_id,channel_id,joined_at,left_at,duration_seconds
1399126688943570974,747202483457097758,1405972026799165593,2025-12-22T16:38:47.147704+00:00,2025-12-22T16:38:58.524683+00:00,11
1399126688943570974,747202483457097758,1405972026799165593,2025-12-22T16:39:17.173516+00:00,2025-12-22T16:39:38.226341+00:00,21
1399126688943570974,623904576671711273,1399493915131904123,2025-12-22T18:36:32.894223+00:00,2025-12-22T18:44:03.634408+00:00,450
1399126688943570974,461240029340237824,1399493915131904123,2025-12-22T20:21:29.499465+00:00,2025-12-22T20:22:46.484320+00:00,76
1399126688943570974,962835349250375710,1399493915131904123,2025-12-22T21:07:36.135035+00:00,2025-12-22T21:34:22.525366+00:00,1606
1399126688943570974,1316778370494759003,1399493915131904123,2025-12-22T21:08:42.994586+00:00,2025-12-22T21:41:44.789834+00:00,1981
1399126688943570974,461240029340237824,1399493915131904123,2025-12-22T21:06:22.685997+00:00,2025-12-22T21:57:06.999348+00:00,3044
1399126688943570974,623904576671711273,1399493915131904123,2025-12-22T21:06:44.425675+00:00,2025-12-22T21:57:07.962021+00:00,3023
1399126688943570974,962835349250375710,1427732690664161332,2025-12-22T22:40:58.845164+00:00,2025-12-22T22:41:09.832127+00:00,10
1399126688943570974,962835349250375710,1427732690664161332,2025-12-22T23:17:51.451011+00:00,2025-12-22T23:25:22.380691+00:00,450
1399126688943570974,962835349250375710,1427732690664161332,2025-12-23T00:41:03.855032+00:00,2025-12-23T01:06:37.961244+00:00,1534
1399126688943570974,962835349250375710,1427732690664161332,2025-12-23T01:58:43.293433+00:00,2025-12-23T01:59:41.549290+00:00,58
1399126688943570974,499625557831581710,1427743564174987315,2025-12-23T03:22:54.700347+00:00,2025-12-23T03:22:59.507806+00:00,4
1399126688943570974,499625557831581710,1427743564174987315,2025-12-23T03:23:02.096863+00:00,2025-12-23T03:24:09.025708+00:00,66
1399126688943570974,461240029340237824,1399493915131904123,2025-12-23T07:14:43.154569+00:00,2025-12-23T07:28:03.910749+00:00,800
1399126688943570974,461240029340237824,1399493915131904123,2025-12-23T08:06:43.003324+00:00,2025-12-23T08:37:44.066574+00:00,1861
1399126688943570974,175482097803329546,1399493915131904123,2025-12-23T08:18:52.564336+00:00,2025-12-23T08:50:21.330214+00:00,1888
1399126688943570974,355893293772570625,1399493915131904123,2025-12-23T08:40:14.393246+00:00,2025-12-23T08:50:21.838015+00:00,607
1399126688943570974,1316778370494759003,1399493915131904123,2025-12-23T09:33:18.949367+00:00,2025-12-23T09:33:22.043656+00:00,3
1399126688943570974,461240029340237824,1399493915131904123,2025-12-23T13:55:09.065387+00:00,2025-12-23T14:02:22.803640+00:00,433
1399126688943570974,499625557831581710,1427743564174987315,2025-12-23T15:43:21.313519+00:00,2025-12-23T16:00:36.332550+00:00,1035
1399126688943570974,461240029340237824,1427743564174987315,2025-12-23T16:11:15.900614+00:00,2025-12-23T16:18:55.794958+00:00,459
1399126688943570974,962835349250375710,1399493915131904123,2025-12-23T19:27:11.596819+00:00,2025-12-23T19:31:30.510202+00:00,258
1399126688943570974,1366259180335271997,1399493915131904123,2025-12-23T19:31:30.327544+00:00,2025-12-23T20:02:38.776040+00:00,1868
1399126688943570974,623904576671711273,1399493915131904123,2025-12-23T19:28:07.548148+00:00,2025-12-23T20:02:39.453809+00:00,2071
1399126688943570974,962835349250375710,1399493915131904123,2025-12-23T21:27:13.534674+00:00,2025-12-23T21:33:39.912250+00:00,386
1399126688943570974,175482097803329546,1399493915131904123,2025-12-23T21:33:25.505192+00:00,2025-12-23T21:40:27.359134+00:00,421
1399126688943570974,1331927419665514496,1399493915131904123,2025-12-23T21:47:59.975980+00:00,2025-12-23T22:22:24.928253+00:00,2064
1399126688943570974,962835349250375710,1399493915131904123,2025-12-23T21:36:10.634037+00:00,2025-12-23T22:26:57.426689+00:00,3046
1399126688943570974,355893293772570625,1399493915131904123,2025-12-23T21:37:02.538738+00:00,2025-12-23T22:34:36.480413+00:00,3453
1399126688943570974,461240029340237824,1399493915131904123,2025-12-23T21:32:16.063308+00:00,2025-12-23T22:52:22.368367+00:00,4806
1399126688943570974,1316778370494759003,1399493915131904123,2025-12-23T21:48:26.575022+00:00,2025-12-23T22:55:07.892110+00:00,4001
1399126688943570974,175482097803329546,1399493915131904123,2025-12-23T22:31:44.068423+00:00,2025-12-23T22:57:07.171178+00:00,1523
1399126688943570974,1151865416579305613,1399493915131904123,2025-12-23T22:52:13.857362+00:00,2025-12-23T23:00:06.400333+00:00,472
1399126688943570974,1366259180335271997,1399493915131904123,2025-12-23T22:22:59.442693+00:00,2025-12-23T23:51:11.649785+00:00,5292
1399126688943570974,593398381909377034,1399493915131904123,2025-12-23T22:53:41.724840+00:00,2025-12-23T23:57:05.597376+00:00,3803
1399126688943570974,1076948330761953311,1399493915131904123,2025-12-23T21:45:09.970087+00:00,2025-12-23T23:57:07.663053+00:00,7917
1399126688943570974,461240029340237824,1399493915131904123,2025-12-24T09:46:26.163044+00:00,2025-12-24T09:57:26.745433+00:00,660
